scenario,protocol,rtt_ms,capacity_mbps,packet_loss_rate,traffic_mode,packet_size_bytes,min_send_interval_ms,max_send_interval_ms,mean_send_interval_ms,offered_load_mbps,file_size_mb,estimated_file_transfer_time_s,duration_s,throughput_mbps,status,command
rtt-80,TCP_CUBIC,80.0,0.3,0.05,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,390.9094018597515,3.0,0.204651,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.05 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.3,0.05,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,276.2430939226519,3.0,0.2896,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.05 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.3,0.05,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,689.1501916698971,3.0,0.116085,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.3Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.05 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.3,0.1,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,493.29123914759276,3.0,0.162176,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.1 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.3,0.1,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,406.2398440038999,3.0,0.196928,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.1 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.3,0.1,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,510.3342689461597,3.0,0.15676,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.3Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.1 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.3,0.15,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.15 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.3,0.15,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.3Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.15 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.3,0.15,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.3Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.15 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.5,0.001,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,128.684602083082,3.0,0.621675,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.001 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.5,0.001,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,128.684602083082,3.0,0.621675,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.001 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.5,0.001,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,223.61547083634983,3.0,0.357757,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.5Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.001 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.5,0.02,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,140.94035404216936,3.0,0.567616,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.02 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.5,0.02,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,309.2277423669064,3.0,0.258709,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.02 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.5,0.02,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,268.27632461435275,3.0,0.2982,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.5Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.02 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.5,0.05,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,390.9094018597515,3.0,0.204651,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.05 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.5,0.05,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,142.88444399197704,3.0,0.559893,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.05 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.5,0.05,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,267.19392935392506,3.0,0.299408,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.5Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.05 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.5,0.1,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,481.8203171582238,3.0,0.166037,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.1 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,TCP_BBR,80.0,0.5,0.1,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,159.37112155434656,3.0,0.501973,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpBbr --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.1 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
rtt-80,QUIC_BBR,80.0,0.5,0.1,quic-bulksend,1448,1.0,10.0,5.5,2.106181818181818,10.0,320.5886006708316,3.0,0.249541,ok,cd /Users/xuweicheng/ns-allinone-3.32/ns-3.32 && /Users/xuweicheng/ns-allinone-3.32/ns-3.32/build/contrib/quic/examples/ns3.32-quic-variants-comparison-bulksend-debug --transport_prot=QuicBbr --bandwidth=0.5Mbps --delay=40.000000ms --access_delay=0ms --error_p=0.1 --data=10 --duration=3
rtt-80,TCP_CUBIC,80.0,0.5,0.15,bulk,1448,1.0,10.0,5.5,2.106181818181818,10.0,,3.0,0.0,ok,cd /Users/xuweicheng/ns-3-dev && /Users/xuweicheng/ns-3-dev/build/scratch/ns3-dev-tcp-exp-default --tcpType=ns3::TcpCubic --accessDelay=0ms --egressDelay=0ms --bottleneckRate=0.5Mbps --bottleneckDelay=40.000000ms --bottleneckLoss=0.15 --trafficMode=bulk --segmentSize=1448 --minSendIntervalMs=1 --maxSendIntervalMs=10 --maxApplicationBytes=10000000 --stopTime=4
